,datum,mesec,dan,ura,minuta,alt,az
3794,2023-06-08T02:00:00,6,8,2,0,-8.809643410463888,42.09899345301389
3795,2023-06-08T03:00:00,6,8,3,0,-0.45975806490555554,53.66692314955277
3796,2023-06-08T04:00:00,6,8,4,0,7.293967829875,64.31706637664445
3797,2023-06-08T05:00:00,6,8,5,0,16.937258271025,74.45398388578056
3798,2023-06-08T06:00:00,6,8,6,0,27.066105639594443,84.61318002585556
3799,2023-06-08T07:00:00,6,8,7,0,37.36514569861944,95.53855561181389
3800,2023-06-08T08:00:00,6,8,8,0,47.442862285788884,108.41142153038334
3801,2023-06-08T09:00:00,6,8,9,0,56.64885784883889,125.31095519995277
3802,2023-06-08T10:00:00,6,8,10,0,63.67749664385833,149.50957748281667
3803,2023-06-08T11:00:00,6,8,11,0,66.26805123949723,181.98814099909998
3804,2023-06-08T12:00:00,6,8,12,0,63.0493178133,213.77331355493612
3805,2023-06-08T13:00:00,6,8,13,0,55.672911601524994,236.96636448114998
3806,2023-06-08T14:00:00,6,8,14,0,46.32059706315834,253.25749197763056
3807,2023-06-08T15:00:00,6,8,15,0,36.19568819872777,265.8253261722389
3808,2023-06-08T16:00:00,6,8,16,0,25.9039791455,276.6161885328167
3809,2023-06-08T17:00:00,6,8,17,0,15.82190732736111,286.74252775567777
3810,2023-06-08T18:00:00,6,8,18,0,6.262748501761111,296.9158865616166
3811,2023-06-08T19:00:00,6,8,19,0,-1.5544312108916667,307.6542980303444
3812,2023-06-08T20:00:00,6,8,20,0,-8.079232680075,319.34599886160834
3813,2023-06-08T21:00:00,6,8,21,0,-14.280490231836112,332.2100049093361
3814,2023-06-08T22:00:00,6,8,22,0,-18.617328674866666,346.18344290531945
3815,2023-06-08T23:00:00,6,8,23,0,-19.452946294627775,0.830468166175
3816,2023-06-09T00:00:00,6,9,0,0,-18.91754635391111,15.432802355977778
3817,2023-06-09T01:00:00,6,9,1,0,-14.848665613080556,29.292021020408335
3818,2023-06-09T02:00:00,6,9,2,0,-8.864813718733334,42.0152436715
3819,2023-06-09T03:00:00,6,9,3,0,-0.5042917363499999,53.57828555562222
3820,2023-06-09T04:00:00,6,9,4,0,7.329870312988889,64.22411535696666
3821,2023-06-09T05:00:00,6,9,5,0,16.96689107113611,74.35554978758333
3822,2023-06-09T06:00:00,6,9,6,0,27.092172732638886,84.50651924440834
3823,2023-06-09T07:00:00,6,9,7,0,37.3909979738,95.41926990110278
3824,2023-06-09T08:00:00,6,9,8,0,47.473205049772226,108.27356490967777
3825,2023-06-09T09:00:00,6,9,9,0,56.690921955222215,125.15027774399722
3826,2023-06-09T10:00:00,6,9,10,0,63.74102715882222,149.3423991717778
3827,2023-06-09T11:00:00,6,9,11,0,66.35574839251389,181.88301389348055
3828,2023-06-09T12:00:00,6,9,12,0,63.146315263769445,213.76301856019722
3829,2023-06-09T13:00:00,6,9,13,0,55.76788581955833,237.00032139367778
3830,2023-06-09T14:00:00,6,9,14,0,46.412428851380554,253.30117520936946
3831,2023-06-09T15:00:00,6,9,15,0,36.28597337873333,265.8673026480361
3832,2023-06-09T16:00:00,6,9,16,0,25.994259805722223,276.6531249037194
3833,2023-06-09T17:00:00,6,9,17,0,15.913246762816668,286.7731383579861
3834,2023-06-09T18:00:00,6,9,18,0,6.3556977197722215,296.9389745774722
3835,2023-06-09T19:00:00,6,9,19,0,-1.6489507537138888,307.6680467978056
3836,2023-06-09T20:00:00,6,9,20,0,-8.174501995702778,319.34776116487774
3837,2023-06-09T21:00:00,6,9,21,0,-14.374672446894444,332.19663390789447
3838,2023-06-09T22:00:00,6,9,22,0,-18.707530430480553,346.15242532196663
3839,2023-06-09T23:00:00,6,9,23,0,-19.53572021972778,0.7815595893888889
3840,2023-06-10T00:00:00,6,10,0,0,-18.989952603872222,15.368760237627779
3841,2023-06-10T01:00:00,6,10,1,0,-14.909231605963889,29.217349167899997
3842,2023-06-10T02:00:00,6,10,2,0,-8.913716686105555,41.934027004311105
3843,2023-06-10T03:00:00,6,10,3,0,-0.5428888710388889,53.492874263855555
3844,2023-06-10T04:00:00,6,10,4,0,7.360139633144444,64.13494370879445
3845,2023-06-10T05:00:00,6,10,5,0,16.991120844302777,74.26139704603334
3846,2023-06-10T06:00:00,6,10,6,0,27.112955978394446,84.40465849504444
3847,2023-06-10T07:00:00,6,10,7,0,37.41153070556666,95.30534440145556
3848,2023-06-10T08:00:00,6,10,8,0,47.49797676829722,108.14156476354722
3849,2023-06-10T09:00:00,6,10,9,0,56.72689013879167,124.99530756036111
3850,2023-06-10T10:00:00,6,10,10,0,63.79780719406111,149.17824627419998
3851,2023-06-10T11:00:00,6,10,11,0,66.43670174794167,181.77434644074168
3852,2023-06-10T12:00:00,6,10,12,0,63.237617483983335,213.74453558351667
3853,2023-06-10T13:00:00,6,10,13,0,55.85823160613056,237.02563021708335
3854,2023-06-10T14:00:00,6,10,14,0,46.50024864129167,253.33706797113334
3855,2023-06-10T15:00:00,6,10,15,0,36.372484811997225,265.9023838438472
3856,2023-06-10T16:00:00,6,10,16,0,26.080742296725,276.68387060581114
3857,2023-06-10T17:00:00,6,10,17,0,16.000573386088888,286.7980992205528
3858,2023-06-10T18:00:00,6,10,18,0,6.444271817772222,296.9568676753194
3859,2023-06-10T19:00:00,6,10,19,0,-1.7386177515666668,307.6770646539639
3860,2023-06-10T20:00:00,6,10,20,0,-8.264367439172222,319.34537769649165
